/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27be460,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,getIntArray,10,x,0
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27be650,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< This is the empty array!\n >>
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27be728,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< The array was: \n >>
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27be870,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printIntArray,hmny,x
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27be968,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,selectionSort,hmny,x
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27bea90,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< The sorted array is: \n >>
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27beb80,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printIntArray,hmny,x
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c0310,GLOBAL,printIntArray,printf,<< \t%d  >>,a[]
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c0510,GLOBAL,printIntArray,printf,<< \n >>
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c0670,GLOBAL,printIntArray,printf,<< \n >>
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c0c78,GLOBAL,getIntArray,printf,<< Enter integer [%d to terminate] :  >>,sentinel
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c0e10,GLOBAL,getIntArray,scanf,<< %d >>,UNOP
/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,0x27c1090,GLOBAL,getIntArray,printf,<< array is full\n >>
