0x27be460,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,getIntArray,10,x,0
0x27be650,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< This is the empty array!\n >>
0x27be728,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< The array was: \n >>
0x27be870,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printIntArray,hmny,x
0x27be968,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,selectionSort,hmny,x
0x27bea90,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printf,<< The sorted array is: \n >>
0x27beb80,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Selection/Selection.c,printIntArray,hmny,x
0x27c0310,GLOBAL,printIntArray,printf,<< \t%d  >>,a[]
0x27c0510,GLOBAL,printIntArray,printf,<< \n >>
0x27c0670,GLOBAL,printIntArray,printf,<< \n >>
0x27c0c78,GLOBAL,getIntArray,printf,<< Enter integer [%d to terminate] :  >>,sentinel
0x27c0e10,GLOBAL,getIntArray,scanf,<< %d >>,UNOP
0x27c1090,GLOBAL,getIntArray,printf,<< array is full\n >>
