0x1b54110,GLOBAL,my_int_func,printf,<< %d\n >>,x
0x1b54520,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,**Undetermined_Function**,foo,2
0x1b55628,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,**Undetermined_Function**,UNOP,2
