/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,1,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,0x2815140,GLOBAL,my_int_func,printf,<<%d\n>>,x
/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,1,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,0x2815550,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,**Undetermined_Function**,foo,<<2>>
/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,1,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,0x2816658,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/funcPointer/funcPointer.c,**Undetermined_Function**,UNOP,<<2>>
