/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,0x2cac7a0,MEMBER,HinduRitual::carryOutRitual,Hindu::performsHinduRitual
/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,0x2cad5d8,MEMBER,HinduAdapter::performsHinduRitual,Muslim::performsMuslimRitual
/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,0x2cb5f30,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,HinduRitual::carryOutRitual,hinduGirl
/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,0x2cb6020,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Adapter/Adapter.cpp,HinduRitual::carryOutRitual,adaptedMuslim
