0x2920840,GLOBAL,dice::rolldice,rand
0x2922b90,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/SnakeAndLadder/SnakeAndLadder.cpp,sohaib
0x2924228,MEMBER,sohaib,dice::rolldice
0x29244a0,GLOBAL,sohaib,graph,y,one,two
0x2933190,GLOBAL,graph,ladder,392,214,566,286
0x29332f0,GLOBAL,graph,ladder,218,142,276,166
0x2933450,GLOBAL,graph,ladder,44,166,218,238
0x29335b0,GLOBAL,graph,ladder,160,190,450,166
0x2933710,GLOBAL,graph,ladder,450,70,450,94
0x2933870,GLOBAL,graph,snake,508,70,556,238
0x29339d0,GLOBAL,graph,snake,334,166,334,238
0x2933b30,GLOBAL,graph,snake,392,118,102,166
0x2933c90,GLOBAL,graph,snake,450,238,160,262
0x2933df0,GLOBAL,graph,snake,508,142,508,214
0x2933f50,GLOBAL,graph,cp1,515,310
0x29341f8,GLOBAL,graph,cp2,515,330
0x29344a8,GLOBAL,graph,cp1,44,286
0x2934690,GLOBAL,graph,cp1,102,286
0x2934878,GLOBAL,graph,cp1,160,286
0x2934a60,GLOBAL,graph,cp1,218,286
0x2934c48,GLOBAL,graph,cp1,276,286
0x2934e48,GLOBAL,graph,cp1,334,286
0x2935030,GLOBAL,graph,cp1,392,286
0x2935218,GLOBAL,graph,cp1,450,286
0x2935400,GLOBAL,graph,cp1,508,286
0x29355e8,GLOBAL,graph,cp1,566,286
0x29357d0,GLOBAL,graph,cp1,44,262
0x29359b8,GLOBAL,graph,cp1,102,262
0x2935ba0,GLOBAL,graph,cp1,160,262
0x2935d88,GLOBAL,graph,cp1,218,262
0x2935fa0,GLOBAL,graph,cp1,276,262
0x2936188,GLOBAL,graph,cp1,334,262
0x2936370,GLOBAL,graph,cp1,392,262
0x2936558,GLOBAL,graph,cp1,450,262
0x2936740,GLOBAL,graph,cp1,508,262
0x2936928,GLOBAL,graph,cp1,566,262
0x2936b10,GLOBAL,graph,cp1,44,238
0x2936cf8,GLOBAL,graph,cp1,102,238
0x2937138,GLOBAL,graph,cp1,160,238
0x2937320,GLOBAL,graph,cp1,218,238
0x2937508,GLOBAL,graph,cp1,276,238
