/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,0x2034228,MEMBER,CircleShape::draw,DrawingAPI::drawCircle
/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,0x2035800,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,CircleShape::resizeByPercentage
/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,0x20358b0,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,CircleShape::resizeByPercentage
/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,0x2035940,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,CircleShape::draw
/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,0x20359c8,MEMBER,/home/labaccount/11-2-17/mlsa/IG/example/Bridge/Bridge.cpp,CircleShape::draw
