0x17ef100,GLOBAL,stringMerge,fopen,filename1,<< r >>
0x17ef370,GLOBAL,stringMerge,perror,<< fopen >>
0x17ef460,GLOBAL,stringMerge,exit,1
0x17ef5a8,GLOBAL,stringMerge,fopen,filename2,<< r >>
0x17ef7b0,GLOBAL,stringMerge,perror,<< fopen >>
0x17ef870,GLOBAL,stringMerge,exit,1
0x17ef9b8,GLOBAL,stringMerge,fopen,filename3,<< w >>
0x17efbc0,GLOBAL,stringMerge,perror,<< fopen >>
0x17efca8,GLOBAL,stringMerge,exit,1
0x17efeb0,GLOBAL,stringMerge,getlineE,fd1,buffer1,BINOP
0x17f0068,GLOBAL,stringMerge,getlineE,fd2,buffer2,BINOP
0x17f03e0,GLOBAL,stringMerge,strcmp,buffer1,buffer2
0x17f05e0,GLOBAL,stringMerge,fprintf,fd3,<< %s\n >>,buffer1
0x17f07a0,GLOBAL,stringMerge,getlineE,fd1,buffer1,BINOP
0x17f0920,GLOBAL,stringMerge,fprintf,fd3,<< %s\n >>,buffer2
0x17f0ae0,GLOBAL,stringMerge,getlineE,fd2,buffer2,BINOP
0x17f0e08,GLOBAL,stringMerge,fprintf,fd3,<< %s\n >>,buffer1
0x17f0fc8,GLOBAL,stringMerge,getlineE,fd1,buffer1,BINOP
0x17f1280,GLOBAL,stringMerge,fprintf,fd3,<< %s\n >>,buffer2
0x17f1440,GLOBAL,stringMerge,getlineE,fd2,buffer2,BINOP
0x17f1600,GLOBAL,stringMerge,fclose,fd1
0x17f16b0,GLOBAL,stringMerge,fclose,fd2
0x17f1760,GLOBAL,stringMerge,fclose,fd3
0x17f2da0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/StringMerge/StringMerge.c,printf,<< Usage: %s sortedfile1 sortedfile2 mergefile\n >>,argv[]
0x17f2e80,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/StringMerge/StringMerge.c,exit,0
0x17f3280,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/StringMerge/StringMerge.c,printf,<< We have %d merged records\n >>,0x17f31e0
0x17f31e0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/StringMerge/StringMerge.c,stringMerge,argv[],argv[],argv[]
