0,GLOBAL,SelectionSort_main.c,printf,undefined_num_of_arguments
1,GLOBAL,SelectionSort_main.c,printf,undefined_num_of_arguments
2,GLOBAL,SelectionSort_main.c,printf,undefined_num_of_arguments
3,GLOBAL,SelectionSort_main.c,getIntArray,x-15,<10>,<0>
4,GLOBAL,SelectionSort_main.c,printIntArray,x-20,hmny-20
5,GLOBAL,SelectionSort_main.c,printIntArray,x-23,hmny-23
6,GLOBAL,SelectionSort_main.c,selectionSort,x-21,hmny-21
